716 Motivation to choose destination,count
-3,137
-1,31
None^,12
None ^,12
Na^,10
Hometown ^,7
Ancestral Home ^,7
Hometown^,6
Ancestral Home^,6
For Farming ^,5
My Ancestral Home ^,5
No Other Reasons ^,5
Marital Home ^,5
No Reason^,5
I Like It Here^,5
That Is My Home^,4
Build A Home^,4
Kenya Is Peaceful ^,4
No Other Reasons^,4
I Want To Do Farming Back At Home^,3
I Want To Be Buried Home^,3
My Homeland^,3
Access To Extended Family ^,3
Home Is Always The Best^,3
My Home Place^,2
That'S Where I Grew Up^,2
I Can'T Go Back Home.^,2
It'S Home To Me^,2
Home Is Best^,2
Less Expenses And Peaceful ^,2
Because Life Here In Better Than My Place Of Origin (Sgoga Matatiele)^,2
For Farming Business ^,2
My Home Country ^,2
No Other Reason ^,2
Home Town ^,2
Home Is The Best^,2
Better Life^,2
Peaceful Coexistence ^,2
Its Where I Want To Be.^,2
Go Back Home^,2
I Am Used To This Place^,2
Stay At Kayole^,2
Married Here^,2
This Is My Home^,2
I Just Like The Place^,2
That Is Where I Belong^,2
Don'T Know^,2
Access To Family ^,2
I'M Putting Up A House There^,2
Start Poultry Farming^,2
It Is A Good Place^,2
My Home^,2
Family Unification^,2
That'S My Place Of Birth ^,2
It'S Back Home Where My Loved Ones Are^,2
Due To Closeness To Family ^,2
Access To Family And Friends ^,2
That'S Where I Come From^,2
It'S Close To Family And Friends ^,2
Start Farming^,2
It Has Nice Houses ^,2
My Home ^,2
I Like It Here ^,2
Lots Of Job Opportunities^,2
I Have To Go Back Home^,2
Peaceful Environment ^,2
To Be With My Family ^,2
Ancestral Land^,2
Have A Home^,2
It'S My Hometown^,2
For Farming  Business ^,2
No Reason ^,2
Family ^,2
Because I Don'T Know Where I Will Retire Too^,1
I Want To Relax At Home^,1
I Will Like To Be Close Home To My Family^,1
The Place Is Less Crowded ^,1
My Whole Family Is In This Neighbourhood ^,1
Because It Is A Good Place^,1
Home Sweet Home And To Perform Elderly Role^,1
It'S  A Serene Place To Live^,1
That'S My Hometown And My Family Are There^,1
Quiet And Beautiful ^,1
To Rest^,1
That Is Where I Have  My Family  Members ^,1
My Sons Are Building A House There And I Hope To Stay There When It'S Completed. I Will Spend My Old Age There.^,1
Business Is Booming  In This Area And I Will  Make Lots Of Money When  I Settle  There With My Business ^,1
I Know Many People There^,1
I Think I Want To Be Buried With My Forefathers ^,1
I Want To Be Close To My Family In My Hometown^,1
It'S A Formal Neighbourhood^,1
That Is My Home And Most Of My Family Members Are There^,1
My Father Has A Lot Of Land There ^,1
I Have Future In This Neighbourhood ^,1
It'S A Quite And Friendly Place To Live And Make Money ^,1
That'S My Community Of Origin^,1
Dont Like Moving And Am Used To My Home Town~And There Are Many Opportunities For Work Here^,1
Planning To Build There^,1
Access To Education For Children ^~Access To Democratic Freedom^,1
I Have My House There^,1
My Family And Friends  Are There^,1
Ghana Is Peaceful And I Have My Business Here. I Want To Make Family Here.^,1
It Is Where I Came From^,1
My Family Will Be There To Support Me ^,1
Residents Of Adabraka Are More Respected Than Those Of Us Living Here^,1
I Would Love To Own A House There That Belongs To Me^,1
That Is My Ancestoral Home And Have To Go Back ^,1
Kasoa Is A More Decent Residential Place^,1
Presence Of My Family To Give ^,1
Access To Family ^~Access To Property ^,1
I Hope My Children Will Build A House There And  Take Me To Live With Them. ^,1
East Legon And Famous And More Formal Neighbourhood. Security And Sanitation Are Better There^,1
My Grandfather'S  Hometown ^,1
My Brother Lives There ^~I Would Build A  House There ^,1
To Be Away From Family Pressures ^,1
That Is My Hometown And My Family Are There^,1
Live My Dream ^,1
That'S Where I Come From And My Relatives Live There ^,1
Access To Land ^,1
All My Family Is Here^,1
My Family Is There To Help Me ^,1
Access To Family ^~Access To Ocean ^,1
That Is Where I Will Find  Other Family Members ^,1
Sanitation Is Improved There Than Here. This Place Is Also Informal Neighbourhood^,1
It Is My Home Town And  My Family Lives There ^,1
I Have My House There And So I Don'T Have To Stay Here And Rent^,1
South Africa Has Better Work Opportunities And He Would Like Her Sister To Move This Side As Well.^,1
The Neighbourhood Is Peaceful And I Want To Oversee My Son Taking Over My Business^,1
I'M Doing Business And Getting Money Her^,1
I Belong There And Would Want To Go Back I  Future. ^,1
That Is Where I Come From And My Family Is Here Too^,1
It'S  Close To Family And It Is Home^,1
Ghana Is More Peaceful Than Nigeria^,1
Because  It'S Home And Closer To Friends Too^,1
We Have A Big Family House There^,1
Aceess To Land And Building ^,1
I Want To Be In A Town  Close To My Community Of Origin.^,1
Because Of The Presence Of My Family And Childhood Friends ^,1
Because If 8 Die In A Foreign Country It Will Be Difficult For Me To Be Buried In My Hometown ^,1
It Is My Home Community^,1
Good To Go Back Home Nd Rest After The Struggle To Survive^,1
Access To Social Amenities ^~Access To City Life^,1
It Is More Developed And Has Many Estate Areas^,1
Is The Best Place I Could Think Of Staying Because I Am Planning To Buy A Piece Of Land There^,1
My Immediate Family Will Be There To Support Me ^,1
Put Up My Building Or Buy It When I Get Money^,1
That Is  My Hometown ^,1
I Am Building At Kasoa Where I Will Live With My Family ^,1
That'S Is Where My Family Is And They Will Support Me ^,1
I Always Wanted To Stay In Sandton^,1
My Hometown And Place Of Birth^,1
That Place Is Nicer Than Old Fadama^,1
Wherever God Takes Me Is Fine With Me^,1
I Would Be Investing In A Building So I Can Go Back ^,1
Access To City Amenities ^,1
Better Welfare Systems For The Aged^,1
That'S Where I Come From.^,1
It  Is Very Close To The Nation'S Capital With Excellent  Health  Facilities  And Social Amenities. ^,1
There Are Many Opportunities Here For My Child And Future Grandchildren ^,1
Access To Serene Environment ^~Accessto Education For Children ^~Access To Economic Resources ^,1
Because I Want To Be In My Own Place I Don'T Want To Suffer Unnecessarily^,1
I Plan To Return Home ^,1
That Is  The Best Place For Rest^,1
That Is My Hometown ^~My Family Lives There ^,1
This Is My Family House ^,1
I Was Born And Raised Here^,1
Most Of The People I Stayed With In Diepsloot Have Moved To Riverside^,1
Because Home Is Safe And I That'S Were My Roots Are^,1
I Have My Hosing Project There^,1
My Family Lives There ^,1
My Business Is Picking Up In This Community And I Don'T Want To Change Environment Again.^,1
I Will Like To Live Around My Father'S  Relatives^,1
It'S My Hometown. Family Unification^,1
I Have Always Wanted To Be There^,1
Due To The Climate Over There ^,1
My Father Has 30 Acres There. I Want To Farm On The Land^,1
We Have Built Over There And Will Resettle There With My Family^,1
My Family  Has A Land There Which I Will Like To Develop In The Nearby  Future. ^,1
I'M Not Where I'Ll Be Cause Now Am Unemployed And If It Comes To A Push I'Ll Be Forced To Go Back Home^,1
It'S My Homeland And I Still Have Family  Members  There. ^,1
I Would Like To Live Wherever My  Children Will Build Their Houses ^,1
Family Is There And Friends As Well ^,1
My Children Are Here. ^,1
Access To Family ^~Be In My Country Of Origin^,1
I'Ll Build A House There ^,1
It'S Close To Family  And Other Relatives ^,1
Want To Live There^,1
It'S My Country Of Birth^,1
Because This Is Home^,1
That Is A More Cherished Neighbourhood Where  I May Afford To Buy Land^,1
Intend To Build  My Own Home There^,1
I Am Married Here So My Family Is S Here^,1
Place Is Less Noisy^,1
That Is Where My Family Is.^,1
That Is Where I  Can Get The Best Form Of Relaxation ^,1
Because Of Work Opportunities Here^,1
Because Of Family ^,1
That'S  Where My Parents Have Settled ^,1
It Is Well Planned And Peaceful^,1
We Have Built Here So We Cannot Move This Is Our Permanent Place^,1
I Love My Hometown^,1
Access To Economic Resources ^,1
Because My Child Is Here^,1
It'S Home And Close To Family ^,1
Plan Is To Settle In Ghana ^,1
My Plot Of Land Is There ^,1
My Homeland ^,1
Kasoa Is Relatively Clean^,1
Madina Is Nicer (Relatively Planned) Than Old Fadama^,1
Life Here In Diepsloot Is Becoming More Difficult Cause I Am Not Working And There Is Too Much Crime~And I Have A Family Home That I Will Retire To Back At Home^,1
It'S Much Safer And Will Be Getting My Rep House There^,1
This Is Where I Grew Up And I'M Comfortable With The Place. I Don'T Want To Move^,1
I Would Love To Go Stay In United Kingdom Just Fascinated By The Place^,1
Where I Grew Up And Where Loved Ones Are^,1
I Am Part Of The Royal Family Here And We Have  Many Lands Here^,1
At Least Someone Will Take Care Of Me At Home^,1
Home Is Better Than Any Other Place^,1
I Love Home Where I'M Coming From^,1
Crime Is Relatively Low There^,1
All My Ancestors Are In Drc So I Need To Be Closer ^,1
That'S Where My Family Are Staying. ^,1
He Said Just To Explore ^,1
Around South Africa^,1
That Is Where I Will  Build My  Home^,1
There'S No Rush Rush~ It'S A Cool Place^,1
City Life Is A Struggle^,1
Access To Land Is Easier For Me^,1
That'S Where My Family Is.^,1
That Is Where I  Intend To  Build My House ^,1
I'M Already Used To It^,1
To Take Care Of My Parent'S Lands ^,1
Life At Bochum Isn'T Expensive Like Here^,1
Just Like The Place When I See It Ontv^,1
To Receive  The  Needed Support ^,1
Access To Family ^~Opportunity To Become A Divisional Chief^,1
Home Always Beats Every Other Place.^,1
It'S Where I Grew Up~ It'S Home^,1
Where There Is Less Crime And Peace^,1
This Is A Calm Neighbourhood ^,1
My Place Of Birth ^,1
There Are Many Opportunities Here In South Africa So I Don'T Imagine Going Back Home^,1
I Hope To Get Married To An American So That Will Be My Marital Home ^,1
Because It Is A Town And All The Government Facilities Are Here.^,1
This Place Is My Home Place And I Have No Other Place To Call Home Other Than This Place ^,1
I Was Born There At Home^,1
Close To Family^~Access To Land^,1
Because I Feel The Are Many Things I Can Do Here In Thokoza^,1
I Have Been Staying Here For A Very Long Time So I Am Comfortable^,1
Because I Want To Be Home Where My Family Is^,1
It'S Safe There And Good Environment^,1
It Is My Hometown ^~I Want Die And Be Buried There^,1
I Want To Have Peace Away From Family Troubles ^,1
There Are Many Business Opportunities  Here^,1
That Is Where I Have  My Family Members ^,1
Access To Family Live ^,1
It Is My Home ^,1
I Don'T Know Anywhere Aside Here Because I Was Born I  This Community ^,1
Due To The Presence Of My Family Members ^,1
I Hear It Is A Peaceful Place ^~The Crime Rate Is Low ^~It Is Developed ^~And I Hope My Children Will Be Living There By The Time I'M Old So I Will Stay With Them. ^,1
This Is Where I Grew Up And This Is Where I Want To Retire From^,1
It'S More Decent Neighbourhood^,1
The Neighbourhood Is Very Calm To Me^,1
I'Ve Always Grown Up Here It'S My Hometown^,1
It'S Nice And Quiet^,1
Always Dreamed Of Staying There~The Paceis Just Appealing To Me^,1
I Must Be Closer To My Ancestors.^,1
No Place In Mind^,1
It Is Closer To Family ^,1
It Has Been The Tradition All Time Since You Get Members To Support You ^,1
I Can Easly Do Farming There Because Of Availability Ofmy Parents Land And Water ^~I Was Born In That Area^,1
Closeness To Family ^,1
Change Where I Grew Up^,1
I Love Ghana Because There Is No Tension Here^,1
This Place Is Too Noisy ^,1
Go Back Home ^,1
That'S My Father'S Hometown And I Like The Place ^,1
I Love My Home But The Problem Is That Now There Is War~ If The War Get Sorted And Get Over I Would Love To Go Back To Drc.^,1
I Dream To Be There And Not Here^,1
My Community  Of Origin ^,1
The Presence Of Family Members ^,1
I Hope My Husband Will Build A House There And We Would Move In ^,1
This Place Is Nice And Peaceful^,1
So I Can Be Close To My Family For Physical And Emotional Help^,1
I Will  Get Assistance From  Family Members ^,1
That'S My Home Country~ Just Came Here To Struggle ^,1
There Is No Peace In Congo^,1
Life Is Better And Children Can Access Education Freely^,1
Its My Home Country ^,1
Because It Is Where I Was Born And It Is Where My Family Are. ^,1
I Love The Coastal Life^,1
I Don'T Want To Stay Here Forever^,1
Kasoa Is Relatively Neater^,1
It Is Peaceful And There Is No Violence ^,1
Sanitation In Mamprobi Is Relatively Better^,1
Home Is Home^,1
Because My Businesses Ar So Good And People Are So Good Here. I'M Married Where Woul I Go?^,1
Mane Benefits Including Working Opportunity And Goodlife^,1
My Home Country^,1
My Community Originality I Have Chosen Because It Is A Peaceful Place To Rest In Compared To To Here In Ongata Rongai ^,1
No More Expenses ^,1
Its A Good Place  For Business ^,1
Doesn'T Want To Leave^,1
Love Climate In My Place^,1
My Home Land. To Manage My Projects^,1
I Can'T Tell For Now^,1
Would Have Put Up My Own Building ^,1
The Area Is Full Of Rich People And I Will  Be Rich By The Time I Retire.^,1
To Be Close To My Family For Support ^,1
That Is Where I Am From ^~I Have Family There^~I Plan To Build A House There Where I Can Stay When I'M Old ^,1
Due To Closeness  To Family  And Friends ^,1
I Will Build My Own House^,1
People Here Aren'T Respectful So I Would Like To Live In East Legon Where People Are Enlightened And Courteous. ^,1
We Are Building Our House There^,1
My Family Are There And Will Like To Stay With Them.^,1
That Is  Where  I Will Build My Own House ^,1
Access To Building ^,1
This Is Where I Would Have Lived For A Longer  Period Of Time ^,1
I Have Always Lived Here And Belong Here^,1
Peaceful And Quiet ^,1
Its Peaceful And I Have My House There^~Unite With My Family^,1
My Father  Has A House There And It'S My Home As Well^,1
Everything  I Own Is Located There^,1
Due To The Presence Of My Family For Care And Support ^,1
This Is Where I Have Lived All My Life And I Know I Can Make Life Here In The Future ^,1
I Will Be Staying Comfortably In My Yard^,1
Because It Is My Home^,1
I Have Built A House For My Kids^,1
Because When M Kids Are Grown They Wl Wan To Come To South Africa And Work So There Will Be No One Left And Home~So. Must Move Back^,1
Invest Into Farming ^,1
Access To City Living^~Access To Education For Children ^,1
Business Opportunities Are Very Good Here Than Back At Home^,1
Home Is Where I Came From^,1
No Stress~ We Watch Movies The Whole Day^,1
Less Moving Around And Less Noice Compared To Here In Diepsloot^,1
It'S  A Quite Place  You  Can Live And  Do Business ^,1
Madina Is More Formal Neighbourhood^,1
Because Here In Sa Everything Is About Money Unlike My Hometown^,1
Because It'S My Hometown^,1
I Want To Be Buried In My Place Of Origin^,1
To Be With Her Grandma.^,1
Because Is The Place I Like Very Much^,1
It'S Where I Would Like To Retire To~And It'S Where My Heart Is^,1
It'S Where I Want To Retire To^,1
Access To My Birth Place^,1
That  Is My Own Residence ^,1
That Is Where I Plan To Build ^,1
It'S A Rich And Peaceful Neighbourhood In Ghana^,1
Be In Own Residence ^,1
Because I Was Born There And Things Are Less Expensive Than Here^,1
Abudance Of Food And  Cost Of Leaving  Is Low^,1
Closer To Family ^,1
Calm Environment^,1
Old Age^,1
That Is My Home ^,1
It'S Where I Want To Stay When I Have Money^,1
My Wife Likes It Here^,1
It'S A Quite Place To Live And I Am Closer To Family Over There^,1
The Area Is Neat And Better Organised Than Where I Am Staying Currently.^,1
We Have Our House Here And This Is My Hometown^,1
I Like The Place ^~It Is Quieter There Compared To Akotolante ^,1
They Have Better Social Welfare Systems ^,1
Intend To Build There One Intend To Build There In Future ^,1
It Is A Place Where Youth Stays^,1
It'S Where I Grew Up And My Whole Family Is There^,1
I Want To Be Around Other Family Members^,1
Where My Family Is~And Where My Heart Is^,1
That'S My Home^,1
We Have Our Housing Project There^,1
My Friends And Family Are There To Support Me^,1
It'S My Homeland.^,1
That Is Where I Was Born^,1
Where I Grow Up^,1
Meeting New People Of My Age^,1
She Likes The Neighborhood.^,1
Still Staying Around Thokoza Not Moving Back At Msinga^,1
It Is A Peaceful Place Where You Can Find Rest^,1
I Wish To Retirec  To Soweto ~And My Boyfriend Find A Permanent Job^,1
I Want To Be Layton Rest In My Country Of Origin.^,1
I Want To Open A Business And Make More Money Here In South Africa^,1
I Love My Country Is Peaceful^,1
It'S Where I Belong And It'S Where I Left My Loved Ones^,1
Want To Establish My Family There ^,1
I'M Building A House In Amasaman So I'Ll Stay There^,1
I Intend To Relocate With My  D Enjoy The Rest Of My Years^,1
Work And Business Opportunities Are Available In The City Of Johannesburg^,1
That Is Were I Belong^,1
It'S Where My Mom And Kids Are~My Country^,1
It'S Where I Feel I Can Be Comfortable Back Home I'M Just Here To Find Money And Work^,1
Because There Are Better Opportunities Here In South Africa Than Back Home Where I Come From^,1
It'S A Nice Place With Lots Of Opportunities And Resources^,1
I Belong There^,1
My Family His Here^,1
Home Is A Better Place To Retire^,1
South Africa Has A Good Economy Compared To My Country^,1
I Really Love And Appreciate The Place Very Peaceful^,1
Because I Feel I Belong Here In South Africa^,1
I Have A Business And A House And My Family Is All Here So I'M Not Planning To Move^,1
In Our Country The Economy Is Very Poor~Here Even If You Have R10 You Have Something To Eat At Night^,1
I'Ts Good For M Business~As I'M Planning To Buy A House And Move With My Family From A Flat^,1
New Scenery^,1
Home Is Were The Heart Is~ Here We Trying To Survive Not To Permanently Stay.^,1
My Parents Where Buried There Even Me I Want To Be Laid To Rest There^,1
I Just Love The Area ^,1
I Just Love It~ It'S Home^,1
I Have A Home And I That'S My Home Own Where I Need To Be When I Die^,1
The Place Is Beautiful I Must Say^,1
It'S My Hometown It'S Much More Safer^,1
Because I Have Friends I Know That Side^,1
It'S Surrounded With Lots Of Business And Job Opportunities^,1
Fast Life Is Good Here^,1
That'S Where My Home Is At^,1
I Just Love The Lifestyle^,1
That Is Where I Was Born And Raised^,1
I Belong There Is My Origin^,1
It'S Back Home Where I Belong^,1
South Africa Is Better Than My Country Of Origin^,1
It'S Safe And Secured^,1
The Invironment Is Good^,1
Because Everyone Is There At Home^,1
He Said The Is No Place Than Home And. Beside To See His Family.^,1
I Don'T Want To Retire^,1
I Can'T Retire From My Calling~ Death Will Be My Retirement^,1
Peaceful Nice And Quiet^,1
This Place Has A Better Life Than At The Rural Areas^,1
My Parents Where Buried There Even Me I Want Same To Apply^,1
The Are Business Opportunities There^,1
Rent Is Cheap^,1
I Don'T Have Family Anywhere Else Ihave My Family Here Now^,1
I Have A House Here^,1
Because I'M Used To The Life Of This Place^,1
I Just Like That Place^,1
It Is My Home And Country^,1
Because Is My Home^,1
The Place Is Very Peaceful And Safe~ I Think Is A Good Place For Ageing.^,1
That Is My Place Of Origin^,1
Then He Would Have Been Saving His Money And He Said He It Is A Hotel Place.^,1
He Said His Businesses Are Doing Well Right Now.Sandton Is A Quiet Place To Have A Piece Of Mind^,1
I Like The Place~The Peace And Tranquility Of The Place^,1
Where I Can Get Piece Of Mind And Where My Family Is~ Johannesburg Is Too Loud And Noisy^,1
It'S Back Home Where I Belong~Where I Feel Safe And Loved^,1
My Home I Need To Be Laid To Rest Where I Originate^,1
I Believe Is A Place Where I Can Get  Peace With My Children Crime Free.^,1
I Believe I Belong To My Home Land^,1
Most Opportunities Are Here^,1
I Love The Place And The Sorounding Areas~It'S An Upmarket Place An It'S Quiet~It'S A Suburb^,1
M Children Are Back Home^,1
