,Q100_1,Q009_1_B,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc
14,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Johannesburg,Urban Town,Urban,Town,4
13,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Johannesburg,Urban City,Urban,City,1
15,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Johannesburg,Urban Village,Urban,Village,1
16,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Nairobi,Urban Town,Urban,Town,1
17,"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Nairobi,Urban Village,Urban,Village,1
20,"('Adenta', 'Adenta', 'Ghana')",Accra,Urban Town,Urban,Town,7
19,"('Adenta', 'Adenta', 'Ghana')",Accra,Urban City,Urban,City,2
23,"('Aflao', 'Aflao', 'Togo')",Accra,Urban Village,Urban,Village,1
22,"('Aflao', 'Aflao', 'Togo')",Accra,Urban Town,Urban,Town,1
24,"('Agadez', 'Agadez', 'Niger')",Accra,Non-Urban Town,Non-Urban,Town,2
25,"('Agadez', 'Agadez', 'Niger')",Accra,Non-Urban Village,Non-Urban,Village,1
34,"('Akim Oda', 'Akim Oda', 'Ghana')",Accra,Urban Town,Urban,Town,3
35,"('Akim Oda', 'Akim Oda', 'Ghana')",Accra,Urban Village,Urban,Village,1
65,"('Awendo', 'Awendo', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
64,"('Awendo', 'Awendo', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
66,"('Bamako', 'Bamako', 'Mali')",Accra,Urban City,Urban,City,2
67,"('Bamako', 'Bamako', 'Mali')",Accra,Urban Village,Urban,Village,1
75,"('Beira', 'Beira', 'Mozambique')",Johannesburg,Urban Town,Urban,Town,1
76,"('Beira', 'Beira', 'Mozambique')",Johannesburg,Urban Village,Urban,Village,1
90,"('Bimbilla', 'Bimbila', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
91,"('Bimbilla', 'Bimbila', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
96,"('Blantyre', 'Blantyre', 'Malawi')",Johannesburg,Urban Village,Urban,Village,4
95,"('Blantyre', 'Blantyre', 'Malawi')",Johannesburg,Urban Town,Urban,Town,1
99,"('Bobo-Dioulasso', 'Bobo-Dioulasso', 'Burkina Faso')",Accra,Urban City,Urban,City,1
100,"('Bobo-Dioulasso', 'Bobo-Dioulasso', 'Burkina Faso')",Accra,Urban Village,Urban,Village,1
101,"('Bolgatanga', 'Bolgatanga', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,11
102,"('Bolgatanga', 'Bolgatanga', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,3
106,"('Brits', 'Brits', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
107,"('Brits', 'Brits', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
108,"('Bujumbura', 'Bujumbura', 'Burundi')",Nairobi,Urban Town,Urban,Town,6
109,"('Bujumbura', 'Bujumbura', 'Burundi')",Nairobi,Urban Village,Urban,Village,4
111,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Nairobi,Urban Village,Urban,Village,8
110,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Nairobi,Urban Town,Urban,Town,3
117,"('Bulawayo', 'Bulawayo', 'Zimbabwe')",Johannesburg,Urban Village,Urban,Village,14
116,"('Bulawayo', 'Bulawayo', 'Zimbabwe')",Johannesburg,Urban Town,Urban,Town,12
115,"('Bulawayo', 'Bulawayo', 'Zimbabwe')",Johannesburg,Urban City,Urban,City,1
121,"('Bungoma', 'Bungoma', 'Kenya')",Nairobi,Urban Village,Urban,Village,4
120,"('Bungoma', 'Bungoma', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
125,"('Busia', 'Busia', 'Kenya')",Nairobi,Urban Village,Urban,Village,8
124,"('Busia', 'Busia', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
142,"('Diffa', 'Diffa', 'Niger')",Accra,Non-Urban City,Non-Urban,City,1
143,"('Diffa', 'Diffa', 'Niger')",Accra,Non-Urban Village,Non-Urban,Village,1
148,"('Durban', 'Durban', 'South Africa')",Johannesburg,Urban Town,Urban,Town,3
149,"('Durban', 'Durban', 'South Africa')",Johannesburg,Urban Village,Urban,Village,2
151,"('Dzodze', 'Dzodze', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1
152,"('Dzodze', 'Dzodze', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
156,"('Ejisu', 'Ejisu', 'Ghana')",Accra,Urban Town,Urban,Town,1
157,"('Ejisu', 'Ejisu', 'Ghana')",Accra,Urban Village,Urban,Village,1
160,"('Eldoret', 'Eldoret', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
159,"('Eldoret', 'Eldoret', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
163,"('Embu', 'Embu', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,3
162,"('Embu', 'Embu', 'Kenya')",Nairobi,Non-Urban Town,Non-Urban,Town,2
165,"('Enugu', 'Enugu', 'Nigeria')",Accra,Urban Town,Urban,Town,10
166,"('Enugu', 'Enugu', 'Nigeria')",Accra,Urban Village,Urban,Village,1
164,"('Enugu', 'Enugu', 'Nigeria')",Accra,Urban City,Urban,City,1
167,"('Enugu', 'Enugu', 'Nigeria')",Nairobi,Urban Village,Urban,Village,1
181,"('Garissa', 'Garissa', 'Kenya')",Nairobi,Non-Urban Town,Non-Urban,Town,1
182,"('Garissa', 'Garissa', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,1
201,"('Harare', 'Harare', 'Zimbabwe')",Johannesburg,Urban Town,Urban,Town,5
202,"('Harare', 'Harare', 'Zimbabwe')",Johannesburg,Urban Village,Urban,Village,2
200,"('Harare', 'Harare', 'Zimbabwe')",Johannesburg,Urban City,Urban,City,1
209,"('Ho', 'Ho', 'Ghana')",Accra,Urban Town,Urban,Town,7
210,"('Ho', 'Ho', 'Ghana')",Accra,Urban Village,Urban,Village,2
213,"('Homa Bay', 'Homa Bay', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,3
212,"('Homa Bay', 'Homa Bay', 'Kenya')",Nairobi,Non-Urban Town,Non-Urban,Town,1
218,"('Ilorin', 'Ilorin', 'Nigeria')",Accra,Urban Town,Urban,Town,2
219,"('Ilorin', 'Ilorin', 'Nigeria')",Accra,Urban Village,Urban,Village,1
222,"('Johannesburg', 'Johannesburg', 'South Africa')",Johannesburg,Urban Town,Urban,Town,24
221,"('Johannesburg', 'Johannesburg', 'South Africa')",Johannesburg,Urban City,Urban,City,1
223,"('Johannesburg', 'Johannesburg', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
226,"('Juba', 'Juba', 'South Sudan')",Nairobi,Non-Urban Village,Non-Urban,Village,4
225,"('Juba', 'Juba', 'South Sudan')",Nairobi,Non-Urban Town,Non-Urban,Town,2
230,"('Kakamega', 'Kakamega', 'Kenya')",Nairobi,Urban Village,Urban,Village,12
229,"('Kakamega', 'Kakamega', 'Kenya')",Nairobi,Urban Town,Urban,Town,3
234,"('Kampala', 'Kampala', 'Uganda')",Nairobi,Urban Town,Urban,Town,5
235,"('Kampala', 'Kampala', 'Uganda')",Nairobi,Urban Village,Urban,Village,5
233,"('Kampala', 'Kampala', 'Uganda')",Nairobi,Urban City,Urban,City,1
249,"('Kerugoya', 'Kerugoya', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
250,"('Kerugoya', 'Kerugoya', 'Kenya')",Nairobi,Urban Village,Urban,Village,1
256,"('Kiambu', 'Kiambu', 'Kenya')",Nairobi,Urban Village,Urban,Village,4
255,"('Kiambu', 'Kiambu', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
257,"('Kigali', 'Kigali', 'Rwanda')",Nairobi,Urban Town,Urban,Town,1
258,"('Kigali', 'Kigali', 'Rwanda')",Nairobi,Urban Village,Urban,Village,1
266,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Johannesburg,Urban City,Urban,City,3
267,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Johannesburg,Urban Village,Urban,Village,1
270,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Nairobi,Urban Village,Urban,Village,5
268,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Nairobi,Urban City,Urban,City,2
269,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Nairobi,Urban Town,Urban,Town,2
273,"('Kisii', 'Kisii', 'Kenya')",Nairobi,Urban Village,Urban,Village,16
272,"('Kisii', 'Kisii', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
275,"('Kisumu', 'Kisumu', 'Kenya')",Nairobi,Urban Village,Urban,Village,24
274,"('Kisumu', 'Kisumu', 'Kenya')",Nairobi,Urban Town,Urban,Town,6
276,"('Kitale', 'Kitale', 'Kenya')",Nairobi,Urban Town,Urban,Town,3
277,"('Kitale', 'Kitale', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
280,"('Koforidua', 'Koforidua', 'Ghana')",Accra,Urban Town,Urban,Town,9
281,"('Koforidua', 'Koforidua', 'Ghana')",Accra,Urban Village,Urban,Village,3
286,"('Kpalime', 'Kpalime', 'Togo')",Accra,Urban Village,Urban,Village,2
284,"('Kpalime', 'Kpalime', 'Togo')",Accra,Urban City,Urban,City,2
285,"('Kpalime', 'Kpalime', 'Togo')",Accra,Urban Town,Urban,Town,1
294,"('Kumasi', 'Kumasi', 'Ghana')",Accra,Urban Town,Urban,Town,6
295,"('Kumasi', 'Kumasi', 'Ghana')",Accra,Urban Village,Urban,Village,3
299,"('Kwekwe', 'Kwekwe', 'Zimbabwe')",Johannesburg,Urban Village,Urban,Village,2
298,"('Kwekwe', 'Kwekwe', 'Zimbabwe')",Johannesburg,Urban Town,Urban,Town,1
309,"('Lawra', 'Lawra', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1
310,"('Lawra', 'Lawra', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
322,"('Lome', 'Lome', 'Togo')",Accra,Urban Town,Urban,Town,13
321,"('Lome', 'Lome', 'Togo')",Accra,Urban City,Urban,City,3
323,"('Lome', 'Lome', 'Togo')",Accra,Urban Village,Urban,Village,2
328,"('Lubumbashi', 'Lubumbashi', 'Democratic Republic of the Congo')",Johannesburg,Urban Town,Urban,Town,1
329,"('Lubumbashi', 'Lubumbashi', 'Democratic Republic of the Congo')",Johannesburg,Urban Village,Urban,Village,1
330,"('Lusaka', 'Lusaka', 'Zambia')",Johannesburg,Urban City,Urban,City,2
332,"('Lusaka', 'Lusaka', 'Zambia')",Johannesburg,Urban Village,Urban,Village,1
331,"('Lusaka', 'Lusaka', 'Zambia')",Johannesburg,Urban Town,Urban,Town,1
335,"('Machakos', 'Machakos', 'Kenya')",Nairobi,Urban Village,Urban,Village,15
334,"('Machakos', 'Machakos', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
341,"('Madina', 'Madina', 'Ghana')",Accra,Urban City,Urban,City,11
342,"('Madina', 'Madina', 'Ghana')",Accra,Urban Town,Urban,Town,3
366,"('Maputo', 'Maputo', 'Mozambique')",Johannesburg,Urban Village,Urban,Village,8
365,"('Maputo', 'Maputo', 'Mozambique')",Johannesburg,Urban Town,Urban,Town,6
373,"('Maseru', 'Maseru', 'Lesotho')",Johannesburg,Urban Village,Urban,Village,5
372,"('Maseru', 'Maseru', 'Lesotho')",Johannesburg,Urban Town,Urban,Town,1
371,"('Maseru', 'Maseru', 'Lesotho')",Johannesburg,Urban City,Urban,City,1
378,"('Matatiele', 'Matatiele', 'South Africa')",Johannesburg,Urban Village,Urban,Village,3
377,"('Matatiele', 'Matatiele', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
390,"('Migori', 'Migori', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,8
389,"('Migori', 'Migori', 'Kenya')",Nairobi,Non-Urban Town,Non-Urban,Town,3
396,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Nairobi,Non-Urban Village,Non-Urban,Village,10
395,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Nairobi,Non-Urban Town,Non-Urban,Town,3
401,"('Mombasa', 'Mombasa', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
400,"('Mombasa', 'Mombasa', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
404,"('Morogoro', 'Morogoro', 'Tanzania')",Johannesburg,Non-Urban City,Non-Urban,City,1
405,"('Morogoro', 'Morogoro', 'Tanzania')",Johannesburg,Non-Urban Town,Non-Urban,Town,1
409,"('Mpraeso', 'Mpraeso', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
410,"('Mpraeso', 'Mpraeso', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
416,"('Muranga', 'Muranga', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
417,"('Muranga', 'Muranga', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
426,"('Nairobi', 'Nairobi', 'Kenya')",Nairobi,Urban Town,Urban,Town,6
427,"('Nairobi', 'Nairobi', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
430,"('Nakuru', 'Nakuru', 'Kenya')",Nairobi,Urban Village,Urban,Village,4
429,"('Nakuru', 'Nakuru', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
437,"('Nelspruit', 'Nelspruit', 'South Africa')",Johannesburg,Urban Village,Urban,Village,3
436,"('Nelspruit', 'Nelspruit', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
446,"('Niamey', 'Niamey', 'Niger')",Accra,Urban Town,Urban,Town,13
447,"('Niamey', 'Niamey', 'Niger')",Accra,Urban Village,Urban,Village,5
445,"('Niamey', 'Niamey', 'Niger')",Accra,Urban City,Urban,City,1
449,"('Nima', 'Nima', 'Ghana')",Accra,Urban Town,Urban,Town,2
448,"('Nima', 'Nima', 'Ghana')",Accra,Urban City,Urban,City,1
460,"('Nqutu', 'Nquthu', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
461,"('Nqutu', 'Nquthu', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
464,"('Nsawam', 'Nsawam', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
463,"('Nsawam', 'Nsawam', 'Ghana')",Accra,Non-Urban City,Non-Urban,City,1
467,"('Nyamira', 'Nyamira', 'Kenya')",Nairobi,Urban Village,Urban,Village,7
466,"('Nyamira', 'Nyamira', 'Kenya')",Nairobi,Urban Town,Urban,Town,3
470,"('Nyeri', 'Nyeri', 'Kenya')",Nairobi,Urban Village,Urban,Village,2
469,"('Nyeri', 'Nyeri', 'Kenya')",Nairobi,Urban Town,Urban,Town,2
475,"('Oda', 'Oda', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
474,"('Oda', 'Oda', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1
487,"('Ouagadougou', 'Ouagadougou', 'Burkina Faso')",Accra,Urban Town,Urban,Town,3
488,"('Ouagadougou', 'Ouagadougou', 'Burkina Faso')",Accra,Urban Village,Urban,Village,2
491,"('Oyugis', 'Oyugis', 'Kenya')",Nairobi,Urban Village,Urban,Village,3
490,"('Oyugis', 'Oyugis', 'Kenya')",Nairobi,Urban Town,Urban,Town,1
505,"('Plumtree', 'Plumtree', 'Zimbabwe')",Johannesburg,Non-Urban Village,Non-Urban,Village,1
504,"('Plumtree', 'Plumtree', 'Zimbabwe')",Johannesburg,Non-Urban City,Non-Urban,City,1
508,"('Port Elizabeth', 'Port Elizabeth', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
509,"('Port Elizabeth', 'Port Elizabeth', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
512,"('Porto-Novo', 'Porto-Novo', 'Benin')",Accra,Urban Town,Urban,Town,5
513,"('Porto-Novo', 'Porto-Novo', 'Benin')",Accra,Urban Village,Urban,Village,1
514,"('Pretoria', 'Pretoria', 'South Africa')",Johannesburg,Urban Town,Urban,Town,2
515,"('Pretoria', 'Pretoria', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
542,"('Siaya', 'Siaya', 'Kenya')",Nairobi,Non-Urban Village,Non-Urban,Village,14
541,"('Siaya', 'Siaya', 'Kenya')",Nairobi,Non-Urban Town,Non-Urban,Town,2
546,"('Sogakope', 'Sogakope', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
545,"('Sogakope', 'Sogakope', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,1
564,"('Tamale', 'Tamale', 'Ghana')",Accra,Urban Town,Urban,Town,17
565,"('Tamale', 'Tamale', 'Ghana')",Accra,Urban Village,Urban,Village,7
563,"('Tamale', 'Tamale', 'Ghana')",Accra,Urban City,Urban,City,2
571,"('Techiman', 'Techiman', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
572,"('Techiman', 'Techiman', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,1
573,"('Tema', 'Tema', 'Ghana')",Accra,Urban Town,Urban,Town,3
574,"('Tema', 'Tema', 'Ghana')",Johannesburg,Urban Town,Urban,Town,1
584,"('Tororo', 'Tororo', 'Uganda')",Nairobi,Urban Town,Urban,Town,1
585,"('Tororo', 'Tororo', 'Uganda')",Nairobi,Urban Village,Urban,Village,1
590,"('Tzaneen', 'Tzaneen', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
591,"('Tzaneen', 'Tzaneen', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
614,"('Wote', 'Wote', 'Kenya')",Nairobi,Urban Town,Urban,Town,3
615,"('Wote', 'Wote', 'Kenya')",Nairobi,Urban Village,Urban,Village,1
617,"('Xai Xai', 'Xai Xai', 'Mozambique')",Johannesburg,Urban City,Urban,City,1
618,"('Xai Xai', 'Xai Xai', 'Mozambique')",Johannesburg,Urban Town,Urban,Town,1
625,"('Yendi', 'Yendi', 'Ghana')",Accra,Non-Urban Village,Non-Urban,Village,2
624,"('Yendi', 'Yendi', 'Ghana')",Accra,Non-Urban Town,Non-Urban,Town,2
679,"('nan', 'Nqutu', 'South Africa')",Johannesburg,Urban Town,Urban,Town,1
680,"('nan', 'Nqutu', 'South Africa')",Johannesburg,Urban Village,Urban,Village,1
697,"('nan', 'nan', 'nan')",Accra,Unclassified Village,Unclassified,Village,9
696,"('nan', 'nan', 'nan')",Accra,Unclassified Town,Unclassified,Town,4
695,"('nan', 'nan', 'nan')",Accra,Unclassified City,Unclassified,City,4
700,"('nan', 'nan', 'nan')",Johannesburg,Unclassified Village,Unclassified,Village,25
698,"('nan', 'nan', 'nan')",Johannesburg,Unclassified City,Unclassified,City,13
699,"('nan', 'nan', 'nan')",Johannesburg,Unclassified Town,Unclassified,Town,13
702,"('nan', 'nan', 'nan')",Nairobi,Unclassified Village,Unclassified,Village,34
701,"('nan', 'nan', 'nan')",Nairobi,Unclassified Town,Unclassified,Town,6
